50000;2636
55000;5870
60000;9686
65000;14152
70000;19411
75000;25545
80000;32747
85000;40521
90000;49205
95000;58914
100000;69533
105000;81369
110000;94199
115000;108241
120000;123401
125000;139830
130000;157600
135000;176988
140000;197936
145000;220090
150000;244007
155000;269539
160000;296400
165000;324923
170000;355571
175000;387782
180000;421822
185000;457858
190000;495760
195000;536460
200000;579101
